sample,n,v_cut,n_reverting,n_inducing,n_reverting_unconstrained,n_inducing_unconstrained,frac_reverting,frac_inducing,median_v_reox,q05_v_reox,q95_v_reox
E14S,363,1.8463686450346497,2,25,2,30,0.005509641873278237,0.06887052341597796,-0.5113788839430269,-2.1225732827564836,0.8592759791783122
E15S,1024,1.8463686450346497,9,20,9,22,0.0087890625,0.01953125,-0.48481843817096054,-1.390264990405597,0.942543445765316
