sample,n,v_cut,n_reverting,n_inducing,frac_reverting,frac_inducing,median_v_reox,q05_v_reox,q95_v_reox
E14S,152,0.9094356131661194,3,5,0.019736842105263157,0.03289473684210526,-0.0051430024895046875,-0.6090350995705338,0.4566981633734429
E15S,2327,0.9094356131661194,9,44,0.003867640739149119,0.018908465835840136,-0.009223253610793132,-0.5966757417982782,0.3074720145061235
