sample,n,n_velocity_genes,median_panel_s,median_panel_u,p10_panel_u,frac_panel_u_zero
E14S,152,9,36.5,1.0,0.0,0.39473684210526316
E15S,2327,9,176.0,7.0,2.0,0.039965620971207566
