cell_group,n_E14,share_E14,n_E15,share_E15,OR_E15_vs_E14,fisher_p
TAM,2042,0.421900826446281,2347,0.32470946319867183,0.6588647218090254,2.1732656290356964e-27
Tumor,434,0.0896694214876033,2651,0.3667681239623686,5.880084654891367,6.052985961315449e-284
neutrophil,400,0.08264462809917356,1076,0.1488655229662424,1.9414174252275682,1.0862863033838887e-28
others,1964,0.40578512396694216,1154,0.1596568898727172,0.27821364072568666,7.621844908729426e-199
