module,gene,median_DCF,median_DP,median_DN,nz_DCF,nz_DP,auroc_DCF_vs_DP,auroc_DCF_vs_DN
nox_capacity,Cybb,0.0,0.0,0.0,0.2757352941176471,0.13513513513513514,0.5749867514573398,
nox_capacity,Cyba,0.8527642530314011,0.5401298886694976,0.804980368862306,0.6507352941176471,0.6666666666666666,0.5676834923158454,
nox_capacity,Ncf1,0.0,0.0,0.0,0.0661764705882353,0.036036036036036036,0.5154014308426073,
nox_capacity,Ncf2,0.0,0.0,0.0,0.2647058823529412,0.1891891891891892,0.5465023847376788,
nox_capacity,Ncf4,0.0,0.0,0.0,0.3088235294117647,0.14414414414414414,0.5878709591944886,
nox_capacity,Rac2,0.0,0.0,0.0,0.48161764705882354,0.38738738738738737,0.5801536830948595,
priming_wright2013,Cxcl1,0.0,0.0,0.0,0.1875,0.40540540540540543,0.3896727609962904,
priming_wright2013,Cxcl2,0.5119697888601946,1.4526423934165849,1.6149393721348448,0.5294117647058824,0.7297297297297297,0.39493905670376256,
priming_wright2013,Il1a,0.0,0.0,0.0,0.03308823529411765,0.04504504504504504,0.49443561208267095,
priming_wright2013,Il1b,1.9458250341080623,2.108967776313425,2.8428693524669524,0.8970588235294118,0.9009009009009009,0.5021363275039746,
priming_wright2013,Il1rn,0.8176709162487781,0.6201754220309035,0.3822931747107934,0.6102941176470589,0.6036036036036037,0.5358041865394807,
priming_wright2013,Icam1,0.0,0.0,0.0,0.10294117647058823,0.10810810810810811,0.49884075251722315,
priming_tnf,Ccl3,0.0,0.0,0.5963868516342805,0.19117647058823528,0.35135135135135137,0.4179915209326974,
priming_tnf,Ccl4,0.0,0.0,0.0,0.26838235294117646,0.45045045045045046,0.41684883412824586,
priming_tnf,Tnf,0.0,0.0,0.0,0.03676470588235294,0.05405405405405406,0.4915209326974033,
priming_tnf,Nfkbia,1.4503464344469266,1.7752337413978596,0.0,0.7904411764705882,0.8738738738738738,0.4206412294647589,
priming_tnf,Tnfaip3,0.0,0.0,0.0,0.19852941176470587,0.23423423423423423,0.485260996290408,
nrf2_ros_response,Hmox1,0.0,0.0,0.0,0.40441176470588236,0.4864864864864865,0.47651695813460515,
nrf2_ros_response,Nqo1,0.0,0.0,0.0,0.13602941176470587,0.18018018018018017,0.47832207207207206,
nrf2_ros_response,Gclc,0.0,0.0,0.0,0.17647058823529413,0.27927927927927926,0.44445548489666137,
nrf2_ros_response,Gclm,0.0,0.0,0.0,0.29044117647058826,0.36936936936936937,0.4661499735029147,
nrf2_ros_response,Txnrd1,0.6187357599166394,0.5922298426288936,0.0,0.5845588235294118,0.6216216216216216,0.5229034181240063,
nrf2_ros_response,Sod2,0.0,0.6173691442400306,0.5007125546064513,0.48161764705882354,0.6396396396396397,0.44226947535771066,
nrf2_ros_response,Gpx1,1.7069059886481819,1.7375789469322838,1.5637116336528663,0.8492647058823529,0.9009009009009009,0.4916037360890302,
hif_tumor_module,Ldha,2.386287602509147,2.650816060717662,2.9716181113903857,0.8676470588235294,0.963963963963964,0.36426868044515104,
hif_tumor_module,Vegfa,0.5608729272708934,0.9616582943027994,0.0,0.5551470588235294,0.7387387387387387,0.41101947535771066,
hif_tumor_module,Pgk1,2.500464661360759,2.4030306760539926,2.8453205074524472,0.875,0.972972972972973,0.49935413354531,
hif_tumor_module,Eno1,1.3153125128502916,0.6628382145523446,0.9095637065264782,0.7205882352941176,0.6936936936936937,0.567799417064123,
hif_tumor_module,Slc2a1,1.4617903851433771,1.5571585219208894,0.0,0.75,0.8828828828828829,0.43557896131425544,
hif_tumor_module,P4ha1,0.8720204791565331,1.165515242454366,0.0,0.625,0.7837837837837838,0.41116852146263916,
mature_receptors,Fpr1,0.0,0.0,0.0,0.35294117647058826,0.27927927927927926,0.5561075781664018,
mature_receptors,Cxcr2,0.9215740010060591,0.6255239523810723,0.0,0.7242647058823529,0.6576576576576577,0.6051934287228404,
mature_receptors,C5ar1,0.0,0.0,0.0,0.40808823529411764,0.42342342342342343,0.5173224695283519,
