palak_cell_type,persistent,partial,reverted,n_qc,median_theta,persistent_pct,partial_pct,reverted_pct
Tumor (epithelial),934,603,2252,3789,0.8583581228479226,24.65030351016099,15.914489311163896,59.435207178675114
Tumor (hypoxic),973,248,419,1640,0.14995540588303005,59.329268292682926,15.121951219512194,25.548780487804876
Tumor (mito-high),121,55,208,384,0.7589548498116179,31.510416666666668,14.322916666666666,54.166666666666664
Tumor (proliferating),699,545,2376,3620,0.9088202139541515,19.30939226519337,15.05524861878453,65.6353591160221
Tumor (ribo-high),10,16,232,258,0.9969704914156744,3.875968992248062,6.2015503875969,89.92248062015504
