cohort,model,n,persistent_pct,partial_pct,reverted_pct,median_theta,spearman_theta_vs_S,p_theta_vs_S,spearman_theta_vs_G2M,p_theta_vs_G2M
E15S_MC38,no_cycle (default θ),2327,26.729694886119464,16.802750322303396,56.467554791577136,0.7998430755027667,0.1274082329905341,6.920592282108484e-10,0.2091073976170243,2.095814543771511e-24
E15S_MC38,residualize S+G2M on HIF genes,2327,26.21400945423292,16.63085517834121,57.15513536742587,0.7914779017622546,0.2314482818041472,1.1344176254097097e-29,0.42791870988268743,2.9779691722205465e-104
E15S_MC38,drop genes with cycle R²≥0.1,2327,24.538031800601633,16.93167168027503,58.53029651912334,0.8150221032712577,0.23228402718447666,7.021777599745263e-30,0.29438122808524725,9.614183952698993e-48
A223_E27E29,no_cycle (default θ),9691,28.242699411825406,15.13775668145702,56.619543906717574,0.8216147229559755,0.23421875185454286,6.807316002609552e-121,0.19470860538237267,2.011799065850706e-83
A223_E27E29,residualize S+G2M on HIF genes,9691,33.40212568362398,18.15086162418739,48.44701269218863,0.6709507391611695,0.18751336005145722,2.1158694428517315e-77,0.14324354504390394,1.3533687404024096e-45
A223_E27E29,drop genes with cycle R²≥0.1,9691,45.40295119182747,14.322567330512847,40.274481477659684,0.4261543566701852,0.2302695492236701,8.313102860692228e-117,0.216149192336189,8.048301391203871e-103
