ocm_gate,persistent,partial,reverted,n_qc,median_theta,persistent_pct,partial_pct,reverted_pct
DN,4,2,19,25,0.9550231348785408,16.0,8.0,76.0
DP,1663,850,2858,5371,0.7666424575722645,30.962576801340532,15.825730776391733,53.21169242226773
hypoxia_plus,1070,614,2599,4283,0.873002913689737,24.982488909642775,14.335745972449217,60.68176511790801
lactate_plus,0,1,11,12,0.9967328056874141,0.0,8.333333333333334,91.66666666666667
