calibration,h_lo,h_hi,n_ref,n_hyp
Tumor,0.052100162459882166,0.6484867967919642,152,2327
neutrophil,-0.012361116849670103,0.5297164327089111,363,1024
combined,-0.019784700581035458,0.7706667860795788,515,3351
