cohort,n_qc,persistent,partial,reverted,median_theta,persistent_pct,partial_pct,reverted_pct
E15S_MC38,2327,622,391,1314,0.7998430755027667,26.729694886119468,16.802750322303396,56.467554791577136
A223_E27E29,9691,2737,1467,5487,0.8216147229559755,28.242699411825406,15.137756681457022,56.619543906717574
