mouse	human	role	detected	use_velocity	lambda	kappa	rho_control	c_s	c_g2m	beta
Slc2a1	SLC2A1	glycolysis	True	True	3.9106951743121736	0.07873985962669468	0.954457515645319	-0.011656794635508654	0.08485278617314485	0.8014310270876192
Slc2a3	SLC2A3	glycolysis	False	False	0.0	0.3353833163317624	0.959748190925248	0.14487245865366544	0.2844300548714506	0.0038125607082256712
Hk2	HK2	glycolysis	True	True	3.388440845311416	0.1073026941224201	0.7518606899113205	-0.3289453541420737	0.05719696944846438	0.3044511778254486
Pfkl	PFKL	glycolysis	True	True	3.2322198387427097	0.02476050184658017	0.9858951291811887	-0.048689277303913	-0.0003661115385627618	0.28225882004971925
Pfkp	PFKP	glycolysis	True	True	2.379719532459856	0.1459589664718813	0.8747458765920494	0.27474031173057195	-0.12261201207443329	0.16594222505205067
Pfkfb3	PFKFB3	glycolysis	False	False	0.0	0.4117770521983865	0.9704628926550037	-0.030047037147686476	0.02818782199271974	0.006897149901384278
Aldoa	ALDOA	glycolysis	True	True	2.7279185167061986	0.004454823263942753	1.0072820983530435	-0.099768969146811	0.2522116018987242	0.7500980984442902
Aldoc	ALDOC	glycolysis	False	False	0.0	0.016835488210909598	0.9888797771851624	-0.12270092771790266	-0.05420566863025151	0.37533986103125366
Tpi1	TPI1	glycolysis	True	True	1.529895297848368	0.003267466625634788	1.1166970530262683	0.059028475085304705	-0.09349515774799481	0.9132321071628648
Gapdh	GAPDH	glycolysis	False	False	0.0	0.0018341710322929087	0.9659667244609221	0.332669623306367	-0.06901962399060564	0.4518806387608963
Pgk1	PGK1	glycolysis	True	True	4.362650000499604	0.01416104408200458	1.566886485676844	-0.07346991090314543	0.06857275089920777	0.6174806473615826
Eno1	ENO1	glycolysis	True	True	1.750907501896687	0.3337012519286343	0.8338818878486074	0.1957420482435625	0.08246506380389684	0.012331023870880736
Eno2	ENO2	glycolysis	True	True	2.3172658183397457	0.11008505871925368	0.7775742967334475	0.08024470955386996	-0.027200035100870164	0.7128750497947823
Pkm	PKM	glycolysis	True	True	2.9471251358094106	0.03349090635372006	1.007357480925722	-0.10250743533126708	0.028623313674197532	0.4017438866369176
Ldha	LDHA	glycolysis	True	True	3.5157080865601413	0.01590381215640673	0.8396213736561097	0.019190981471969154	-0.13325887140311496	0.6618274671444252
Pdk1	PDK1	mitochondria	True	True	2.106253037081514	0.15193451025418894	0.74948491145578	-0.06624167126160518	0.055346658186064636	0.24786876701822033
Slc16a3	SLC16A3	transport	True	True	2.547067678439621	0.023206041073226637	0.8135570994836528	0.3920070841472353	-0.1746932446594987	0.1845122768472098
Vegfa	VEGFA	angiogenesis	True	True	0.7260330534812919	0.03795447990123159	0.9803422728712486	0.48510665464431213	-0.16464625376982087	0.4129424441447051
Adm	ADM	peptide	True	True	2.4682015366446746	0.032605221598478895	1.100055316591398	0.3385179980038428	-0.11312251874516878	1.0699522611001555
Angptl4	ANGPTL4	angiogenesis	False	False	0.0	0.0064119915678290855	0.9782217154264702	-0.05571271703755498	-0.06765616304217922	0.0
Car9	CA9	pH	False	False	0.0	0.036626080675732114	0.9126774595931411	-0.02386818128284657	-0.04418597573942056	0.7029609177133374
Bnip3	BNIP3	mitophagy	True	True	3.757729161281848	0.05162651920723901	1.139576467964112	0.5384545827452186	0.13588058390643623	0.8976639195602043
Bnip3l	BNIP3L	mitophagy	True	True	2.857363707360823	0.023996309429493323	1.082712139198743	-0.13540117016795333	0.2518377326153401	0.7957500164499383
Ndrg1	NDRG1	stress	True	True	3.9080362736770633	0.07485665361895434	0.7679804053736439	0.036319886862322646	0.09448082697226812	0.43734586661970126
Ddit4	DDIT4	signaling	True	True	0.30960534681270735	0.014888656764833653	0.93016617318935	-0.12753757032866833	-0.08623254483423688	0.85287890662588
P4ha1	P4HA1	ECM	True	True	3.9740979400091203	0.32017406280499056	0.9334491932544012	0.12029495953417656	-0.10356586813471806	0.4490811277628188
P4ha2	P4HA2	ECM	True	True	3.72742943004783	0.05955692873834665	0.8944385881656886	0.2565923535284185	0.11678692154372221	0.15411707248650516
Lox	LOX	ECM	False	False	0.0	0.0186530535370719	1.2158704289129512	-0.1668908986681358	0.0675842262383966	0.47155952293558523
Egln3	EGLN3	feedback	True	True	3.4269589541984145	0.09469379534705627	0.8170745777471562	0.1861782008561584	0.26037868226584565	0.6707149981006034
Bhlhe40	BHLHE40	transcription	True	True	2.3508618809272592	0.008554342654226511	0.9120735463064691	-0.10109739569787389	0.06627549348933391	0.513092666651402
Cxcr4	CXCR4	migration	False	False	0.0	0.005553057146051466	0.995538758777343	-0.02556070036118212	-0.010574706040866069	0.16461094263585047
Serpine1	SERPINE1	ECM	False	False	0.0	0.10823512898968213	0.916463226926359	-0.05182905760838407	-0.1693365401892366	0.0
