lineage	min_spliced_umi	n_in_lineage	n_dropped_umi	n_fit	n_control	n_exposed	n_genes	n_detected_genes	n_velocity_genes	median_spliced_umi
Tumor	5000.0	3085	606	2479	152	2327	32	24	23	64950.0
neutrophil	2000.0	1476	219	1257	319	938	32	14	14	3933.0
