lineage	sample	n_cells	n_velocity_genes	n_steps	loss_start	loss_final	mean_h	mean_theta	mean_xi	mean_p_away	mean_p_toward	frac_hard_flux	frac_pheno_persistent	mean_p_persistent	frac_pheno_partial	mean_p_partial	frac_pheno_reverted	mean_p_reverted	frac_state_persistent	mean_p_state_persistent	frac_state_persistent_exiting	mean_p_state_persistent_exiting	frac_state_persistent_deepening	mean_p_state_persistent_deepening	frac_state_partial	mean_p_state_partial	frac_state_transitioning_out	mean_p_state_transitioning_out	frac_state_transitioning_in	mean_p_state_transitioning_in	frac_state_reverted	mean_p_state_reverted	frac_state_reverted_entering	mean_p_state_reverted_entering
Tumor	E14S	152	23	550	1542402.546895728	51966.88492976555	-0.6030998370229971	0.7340903666107849	-2.337311630789803e-17	0.1518829865005338	0.023920696561791608	0.02631578947368421	0.21052631578947367	0.051908899132215705	0.09210526315789473	0.07521511014679652	0.6973684210526315	0.6803404707935464	0.19078947368421054	0.17531915085797165	0.019736842105263157	0.030378152725055882	0.0	0.004829012206446159	0.08552631578947369	0.07521511014679652	0.006578947368421052	0.01482641891483795	0.0	0.0020637340962602686	0.6973684210526315	0.6803404707935464	0.0	0.017027950259085184
Tumor	E15S	2327	23	550	1542402.546895728	51966.88492976555	0.03939457465728215	0.6186143584492517	0.09846404429090402	0.13256833313852875	0.017677438291792216	0.0111731843575419	0.27460249247958746	0.07382329219588067	0.16373012462397937	0.146481258055886	0.5616673828964331	0.5526348798487389	0.2664374731413838	0.24463567499472566	0.008165019338203695	0.024264363985627046	0.0	0.005702453499234737	0.16072195960464117	0.146481258055886	0.0030081650193382035	0.014306384823230097	0.0	0.0029424817448633015	0.5616673828964331	0.5526348798487389	0.0	0.009032503047694174
neutrophil	E14S	319	14	550	2954669.306962474	13125.935144483241	-0.11249431413922771	0.7081019047779561	-1.1137033475863639e-17	0.02137754952843993	0.027808495995388597	0.0	0.21630094043887146	0.015088545358366772	0.12852664576802508	0.12217743694278482	0.6551724137931034	0.6385230184591979	0.21630094043887146	0.20462512040575556	0.0	0.0041951110872655555	0.0	0.0074807089458503555	0.12852664576802508	0.12217743694278482	0.0	0.002670817109607474	0.0	0.0036783917156327753	0.6551724137931034	0.6385230184591979	0.0	0.016649395333905467
neutrophil	E15S	938	14	550	2954669.306962474	13125.935144483241	0.03825766120513182	0.6381423292842858	-0.30961958872560164	0.011582652201696509	0.043341539119371136	0.0	0.255863539445629	0.019595155215907645	0.20575692963752665	0.19458354653241033	0.5383795309168443	0.5169624959527878	0.255863539445629	0.23983679480212797	0.0	0.002892520163074811	0.0	0.013134224480426226	0.20575692963752665	0.19458354653241033	0.0	0.0023831034302280226	0.0	0.0087902796748883	0.5383795309168443	0.5169624959527878	0.0	0.021417034964056607
