s_quintile	n	mean_h	frac_persist	mean_p_away	mean_cycle_s
(-0.448, -0.146]	466	0.7226808407531705	0.3369098712446352	0.10844157652317923	-0.2663869694624957
(-0.146, -0.0306]	465	0.21368830727838575	0.13978494623655913	0.08280722001639594	-0.08695762310393051
(-0.0306, 0.0591]	465	0.07268659555226782	0.09032258064516129	0.07215474613616124	0.014349699267341445
(0.0591, 0.154]	465	0.0698877436257034	0.060215053763440864	0.055852341273056556	0.1038612119023798
(0.154, 0.559]	466	0.07615979871950425	0.06866952789699571	0.0707846046643774	0.23520074853847706
