lineage	min_spliced_umi	n_in_lineage	n_dropped_umi	n_fit	n_control	n_exposed	n_genes	n_detected_genes	n_velocity_genes	median_spliced_umi	status	n_control_below_recommended
Tumor	5000.0	4625	0	4625	12	4613	32	23	23	25690.0	fit	True
neutrophil	1500.0	203	0	203	3	200	32	21	21	5180.0	fit	True
