lineage	min_spliced_umi	n_in_lineage	n_dropped_umi	n_fit	n_control	n_exposed	n_genes	n_detected_genes	n_velocity_genes	median_spliced_umi	status
Tumor	5000.0	2400	359	2041	192	1849	32	24	23	8728.975249350071	fit
neutrophil	2000.0	1725	0	1725	495	1230	32	13	13	8268.36035144329	fit
