lineage	sample	n_cells	n_velocity_genes	n_steps	loss_start	loss_final	mean_h	mean_theta	mean_xi	mean_p_away	mean_p_toward	frac_hard_flux	frac_pheno_persistent	frac_pheno_empirical_persistent	mean_p_persistent	frac_pheno_partial	frac_pheno_empirical_partial	mean_p_partial	frac_pheno_reverted	frac_pheno_empirical_reverted	mean_p_reverted	frac_state_persistent	mean_p_state_persistent	frac_state_persistent_exiting	mean_p_state_persistent_exiting	frac_state_persistent_deepening	mean_p_state_persistent_deepening	frac_state_partial	mean_p_state_partial	frac_state_transitioning_out	mean_p_state_transitioning_out	frac_state_transitioning_in	mean_p_state_transitioning_in	frac_state_reverted	mean_p_state_reverted	frac_state_reverted_entering	mean_p_state_reverted_entering
Tumor	E14S	192	23	550	1498537.3496603656	16716.09956818285	0.13106103969038965	0.7578241088685361	4.625929269271485e-18	0.08260064114219544	0.027120080005408387	0.0	0.0	0.11458333333333333	0.06231968433507031	0.0	0.13541666666666666	0.0	1.0	0.75	0.9728799199945916	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.9728799199945916	0.0	0.027120080005408383
Tumor	E15S	1849	23	550	1498537.3496603656	16716.09956818285	0.8832032784315199	0.5827160211081374	-0.08726880850663019	0.02010511556269814	0.021299338973324977	0.0	0.2038939967550027	0.2038939967550027	0.107907510005972	0.34559221200649	0.34559221200649	0.33145364355886237	0.4505137912385073	0.4505137912385073	0.44018822679998054	0.2038939967550027	0.19632356211304455	0.0	0.003883256106352556	0.0	0.0036871785356055783	0.34559221200649	0.33145364355886237	0.0	0.006851972448435078	0.0	0.007286595999192607	0.4505137912385073	0.44018822679998054	0.0	0.010325564438526794
neutrophil	E14S	495	13	550	3135802.2914349143	19415.792348485214	-0.013017702631413806	0.7884638841545675	-8.522924229445646e-18	0.060657649546386465	0.02883375651059102	0.0	0.0	0.046464646464646465	0.011000190160738938	0.0	0.21616161616161617	0.0	1.0	0.7373737373737373	0.9711662434894089	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.9711662434894089	0.0	0.02883375651059102
neutrophil	E15S	1230	13	550	3135802.2914349143	19415.792348485214	0.03527305986469429	0.7700815217720097	-0.15037795890307393	0.04228722575314157	0.03422345192926806	0.0032520325203252032	0.03414634146341464	0.03414634146341464	0.015440544123018528	0.29024390243902437	0.29024390243902437	0.2642815607864121	0.675609756097561	0.675609756097561	0.6546162226948274	0.03414634146341464	0.03124249355107696	0.0	0.001367350676785837	0.0	0.0015364972355518295	0.2869918699186992	0.2642815607864121	0.0032520325203252032	0.014268920361629541	0.0	0.011693421290982742	0.675609756097561	0.6546162226948274	0.0	0.02099353340273349
