s_quintile	n	mean_h	frac_persist	mean_p_away	mean_cycle_s
(-0.188, -0.128]	1014	0.4681700012611109	0.1765285996055227	0.02397822030567791	-0.15188854211267067
(-0.128, -0.0851]	1013	0.28990486077409106	0.12833168805528133	0.022557804131689806	-0.10765037508082699
(-0.0851, 0.00513]	1013	-0.015541726611772893	0.05330700888450148	0.02210746715457672	-0.04465341929807458
(0.00513, 0.12]	1013	-0.1524582527353771	0.03257650542941757	0.022423928407820086	0.058652483875925025
(0.12, 0.574]	1013	-0.15430225238686807	0.034550839091806514	0.02613302606429114	0.24568979194645926
