mouse	detected	use_velocity	beta	lambda	kappa	c_s	c_g2m
Slc2a1	True	True	0.6227837051150158	2.16304976876313	0.4157846875220546	-0.23221210951007823	0.26752461069654515
Slc2a3	True	False	0.010480154739896554	0.0	0.25846179177494766	0.27768933380863864	0.17185013953292252
Hk2	True	True	0.27898377009706654	1.3181236559424452	0.09659984234605506	-0.09296726051765614	0.002553957529485362
Pfkl	True	True	0.5357451890731031	1.7652907457793563	0.03972136547618361	-0.40149881615967165	-0.038132787955604264
Pfkp	True	True	0.4690295479662473	2.1047367342965604	0.29943294787755187	-0.22716938936683567	-0.1206715185283442
Pfkfb3	True	True	0.0	0.7151198531898904	1.6467361842800274	0.40845504521851544	0.39662934631758845
Aldoa	True	True	0.6288022734038916	3.8353812032649905	0.0019374195530333137	-0.1223972220951113	-0.13623034357223449
Aldoc	False	False	0.20914137160658872	0.0	0.005291652302712167	0.04066536879155512	0.0866861754088755
Tpi1	True	True	0.7170231443037788	3.7867309298866254	0.001948736028556765	0.25834026482023076	0.06432766257181785
Gapdh	False	False	0.49582741518557416	0.0	0.0003354626279025118	-0.04409517308230564	0.1496022153018196
Pgk1	True	True	0.7090542039532834	3.546227000700514	0.014261917023527925	-0.42198109085183694	-0.035900638759818276
Eno1	True	True	0.6093829626750558	3.56923518722088	0.006657679840602259	-0.20759082067873474	0.16697349447530438
Eno2	False	False	0.005676254070819573	0.0	0.19090839229751852	-0.06949301580047455	0.0898142744167208
Pkm	True	True	0.7059703159545743	2.987128845044524	0.016875121668580125	-0.5535532817684325	-0.1503678101624965
Ldha	True	True	0.649247386274562	3.031431339410663	0.006822078441493427	-0.2111545503945012	-0.08487747083084417
Pdk1	True	True	0.3269879061438522	1.0954460496410992	0.24335058892711017	0.08436499810246499	-0.15658885752251736
Slc16a3	True	True	0.5876524974804797	2.6061876744586003	0.015020627549000472	-0.2820961375708223	0.3716511297816535
Vegfa	True	True	0.2616737959446534	1.3178109939232416	0.06740437933759637	-0.022197289298370386	0.05269459104187473
Adm	False	False	0.026681614881962246	0.0	0.008807370758705437	0.0010196775599568232	0.0014507034576832429
Angptl4	False	False	0.0	0.0	0.0259494585818612	-0.2314752195075405	0.12258623280086049
Car9	True	True	0.4321479403101513	1.5353364294252938	0.1003991853902861	-0.09753387195210557	-0.193040825425355
Bnip3	True	True	0.7634202848104189	3.1315777756756393	0.035439812541314536	0.03145319048427251	0.161361640594121
Bnip3l	True	True	0.7076097782454943	2.756212308743172	0.03620177824926238	-0.006125022328753842	-0.025007153880354373
Ndrg1	True	True	0.5424963456308601	2.5592164955138883	0.2718755363894688	0.0352081742345847	-0.3134174140312745
Ddit4	False	False	0.3028892458411443	0.0	0.00618290185437429	0.2377380873782403	-0.024781108562089822
P4ha1	True	True	0.5581278329215382	2.6837903220867982	0.3746952700615869	-0.27279833475577875	0.13794497119843038
P4ha2	True	True	0.574536757208601	2.3209496272624386	0.047813726548636463	-0.14417756157319447	-0.2863707748615768
Lox	False	False	0.0039712684011969845	0.0	0.0016623412721067906	0.00714122045766642	0.009341227219947908
Egln3	True	True	0.34405913354297496	2.0571584947156127	0.26259710948714293	-0.2612060752051166	0.13856078476891445
Bhlhe40	True	True	0.3576426533348373	1.4270192691613675	0.11638946517146756	-0.24329139295010044	-0.04147260742332728
Cxcr4	False	False	0.022888744727308483	0.0	0.023870109328930477	-0.051517695332053845	-0.028917942443888085
Serpine1	True	True	0.05115410034750628	1.5196664878477177	1.0030189792871687	-0.24188053990271	0.2047116830037086
