ocm_gate	n	mean_h	frac_persist	mean_p_away	median_spliced_umi
hypoxia_plus	2292	-0.059513243410287985	0.030977312390924956	0.03187077087757558	8600.5
DN	13	-0.5682788058206286	0.0	0.014635293432800225	20014.0
DP	2161	0.07608688909802266	0.03378065710319297	0.021364958566413805	13943.0
