s_quintile	n	mean_h	frac_persist	mean_p_away	mean_cycle_s
(-0.305, -0.241]	31	-0.18731762129152651	0.1935483870967742	0.3159538998728733	-0.2699025503929661
(-0.241, -0.151]	30	0.18776086835452557	0.26666666666666666	0.3345416138693321	-0.19769976671690198
(-0.151, 0.0714]	30	0.46446905777348463	0.13333333333333333	0.4496318482943414	-0.047672752985172075
(0.0714, 0.255]	30	0.24876219434818997	0.03333333333333333	0.4129553840795962	0.16937205470243952
(0.255, 0.554]	31	-0.044796253009054994	0.03225806451612903	0.3425228277153138	0.3434513874893868
