mouse	human	role	detected	use_velocity	lambda	kappa	rho_control	c_s	c_g2m	beta
Slc2a1	SLC2A1	glycolysis	True	True	1.9009988905695503	0.24430406632056922	0.8783815291105224	-0.21544034852752497	-0.4290011835004633	0.4950007968897472
Slc2a3	SLC2A3	glycolysis	True	False	0.0	0.0707184284795905	0.9716528242619236	-0.05536637360259806	-0.19351433995807832	0.02965185037473822
Hk2	HK2	glycolysis	True	True	0.7799604737400436	0.384478661331597	0.8710342263403428	0.06127634689599586	-0.016317460566917415	0.12089620188842451
Pfkl	PFKL	glycolysis	True	True	1.1623226477561148	0.09652084488335369	0.95346518308092	-0.008300199481777642	-0.0018234190146761563	1.1989210455868307
Pfkp	PFKP	glycolysis	True	True	1.2516357825865505	0.46579383269437613	0.7534721075902147	-0.01731109021474098	0.06994925184343088	0.5568217993249664
Pfkfb3	PFKFB3	glycolysis	True	True	0.5364812940840331	1.697284601305605	0.8535158927156307	0.031337464225971855	-0.19691755683789094	0.16137691306902738
Aldoa	ALDOA	glycolysis	False	False	0.0	0.0031898351103939624	1.2545978608788722	0.020944448630776158	-0.026865047316978533	0.2546020650347248
Aldoc	ALDOC	glycolysis	False	False	0.0	0.003597741045284126	0.9973092030564372	-0.001024602965344253	-0.002185206972360766	0.162137810963341
Tpi1	TPI1	glycolysis	False	False	0.0	0.0029372839924796776	0.9798376482811045	-0.02661663016825823	-0.018455452364083563	0.3165411436554777
Gapdh	GAPDH	glycolysis	False	False	0.0	0.0003354626279025118	0.997914284014242	-0.0043388649100413465	-0.011496616492130156	0.579436795309307
Pgk1	PGK1	glycolysis	True	True	1.6952855080654845	0.030748138956358313	1.0262095287562065	-0.01686371889108005	-0.23562409671117907	0.42036864787278044
Eno1	ENO1	glycolysis	True	True	2.3825536806855183	0.02265476002879727	0.9590519829073048	-0.02370206364385333	-0.10765935362055609	0.14002225927910403
Eno2	ENO2	glycolysis	True	True	0.8397976486160028	0.32032527632630536	0.8829220204296975	0.01458988559414814	0.12970890274144767	0.22425969211645658
Pkm	PKM	glycolysis	True	True	1.305455172836284	0.1173281291624153	1.0172775990393934	-0.15575404832920567	-0.04479507253986999	0.17708939072482163
Ldha	LDHA	glycolysis	True	True	2.170765355662882	0.004851028713569672	0.9780376203734026	-0.029511573674923526	-0.024477692070779457	0.21383106234498206
Pdk1	PDK1	mitochondria	True	True	0.7417361982348556	0.2807494190402812	1.0451638411227078	0.029489434986702222	0.14181535425710193	0.6412701696171336
Slc16a3	SLC16A3	transport	True	True	1.4615563501340665	0.12848487930714986	0.8951486404006963	-0.026881532700952858	-0.1291796455815801	0.49185809557944177
Vegfa	VEGFA	angiogenesis	True	True	0.34916482005376537	0.06748224014552774	1.3818289079811346	0.0531863666747098	0.078348951301465	0.9866066045989963
Adm	ADM	peptide	False	False	0.0	0.003522065271359027	0.9979979964443351	-0.009391629158146174	-0.018128643900416862	2.3486569284285785
Angptl4	ANGPTL4	angiogenesis	False	False	0.0	0.005528001854771611	0.9969491628872599	-0.0031646472165118788	-0.00868282795354905	0.0
Car9	CA9	pH	True	True	0.4644098374695387	0.13350718491504648	0.9103376563789547	-0.04395385657294566	-0.12420513934163964	0.5334346737597877
Bnip3	BNIP3	mitophagy	True	True	1.4860458730732564	0.10951126146890018	0.7914353367052261	0.12474320007551257	-0.04969148311530069	0.4554731519774037
Bnip3l	BNIP3L	mitophagy	True	True	1.4196473292122913	0.09321324437479589	1.1217024025935132	-0.0148400245104782	-0.09510538853990405	0.3402008043923297
Ndrg1	NDRG1	stress	True	True	1.100586999018225	0.2191712921546422	0.8208391351316047	0.026228682054925602	0.011141801902224779	0.5183158064917207
Ddit4	DDIT4	signaling	False	False	0.0	0.0004185165265068887	0.9991712554416555	0.01662327615034217	0.06827035935909982	0.4979943814245167
P4ha1	P4HA1	ECM	True	True	1.6729608904925648	0.8140624043364229	0.7231142659095366	0.08630797547241445	0.1863023383770103	0.0
P4ha2	P4HA2	ECM	True	True	0.9302404383979798	0.1220809393673995	0.9071359675774541	0.03468494427186841	0.022563932101720235	0.5718161817858523
Lox	LOX	ECM	False	False	0.0	0.000815396897131554	0.9989965677499549	0.03150250270696694	0.11397848291115185	0.17723994527986883
Egln3	EGLN3	feedback	True	True	0.8065932777144177	0.30536469427652757	0.9117576069438107	0.0501433996301636	0.2230654645673341	0.6851090447233164
Bhlhe40	BHLHE40	transcription	True	True	0.8748123837738007	0.07922253789251651	1.1043075368078343	0.027968485214284147	0.26661715648757994	0.8537486215155866
Cxcr4	CXCR4	migration	False	False	0.0	0.008937572815199545	0.9964341760642745	0.008704901459622742	0.04389220247624866	0.14767326002712627
Serpine1	SERPINE1	ECM	True	True	0.7892356235165489	0.23963436223460285	0.9517453368501458	0.026041371774979723	0.030177956851367756	0.2562335812327506
