s_quintile	n	mean_h	frac_persist	mean_p_away	mean_cycle_s
(-0.197, -0.131]	894	0.22466102945312993	0.042505592841163314	0.02984080312383184	-0.15761039312939285
(-0.131, -0.0823]	893	0.1089518952805165	0.03471444568868981	0.024672980654889345	-0.10948132432679575
(-0.0823, 0.00907]	893	-0.04375713820922852	0.03471444568868981	0.02545570693073631	-0.03901176020366604
(0.00907, 0.122]	893	-0.13618469969936495	0.030235162374020158	0.0255696617349065	0.060743470177971215
(0.122, 0.565]	893	-0.13081875990531544	0.019036954087346025	0.02814270682207055	0.24553650288292406
