lineage	min_spliced_umi	n_in_lineage	n_dropped_umi	n_fit	n_control	n_exposed	n_genes	n_detected_genes	n_velocity_genes	median_spliced_umi	status	n_control_below_recommended
Tumor	5000.0	5066	0	5066	13	5053	32	22	22	10490.5	fit	True
neutrophil	1500.0	206	0	206	4	202	32	23	22	7602.5	fit	True
