run,n,spearman_vHIF_vs_S,p_vHIF_vs_S,spearman_vCycle_vs_S,p_vCycle_vs_S,spearman_vHIF_vs_hifExpr,p_vHIF_vs_hifExpr,spearman_minus_vHIF_vs_our_v_reox,p_minus_vHIF_vs_our_v_reox,mean_abs_vCycle,mean_abs_vHIF,cycle_over_hif_ratio,frac_cycle_dominates,spearman_v_reox_vs_S,p_v_reox_vs_S,note,spearman_v_reox_cc_on_vs_off,p_v_reox_cc_on_vs_off,spearman_minus_vHIF_vs_our_v_reox_tumor,p_minus_vHIF_vs_our_v_reox_tumor,n_velocity_genes
tumor_1d_cc_on,2479,,,,,0.09888007635614597,8.105727661113333e-07,1.0,0.0,,0.21182432181617433,,,0.005549637343870215,0.7824123119231136,our model; v residualized on E14 S/G2M,,,,,
tumor_1d_cc_off,2479,,,,,0.09810183255357015,9.891170041103754e-07,,,,0.21235558243267058,,,-0.01593649408438128,0.42770723756162166,our model; no v cycle residualization,0.9861512168797223,0.0,,,
scvelo_all_no_cc,12068,0.13645366664015637,3.0143467333209285e-51,0.49601073229307663,0.0,0.13068757986834345,4.0459092868050056e-47,0.1673416583705217,4.992625327575848e-17,0.028657771456941584,0.055066937762641946,0.5204170164766879,0.25207159429897247,,,,,,0.1673416583705217,4.992625327575848e-17,947.0
scvelo_all_cc_allcells,12068,0.05270816083381912,6.887152019634928e-09,0.246089053603896,6.151231168425082e-166,0.09991490203442917,3.7168382363668173e-28,0.14809225266982953,1.2570612299068286e-13,0.016219724223965757,0.0518219582088753,0.31298941191280344,0.11857805767318529,,,,,,0.14809225266982953,1.2570612299068286e-13,622.0
scvelo_all_cc_e14fit,12068,0.14902198209752374,6.991065675711322e-61,0.39035981480086035,0.0,0.13211309659774784,4.0136896613347347e-48,0.1731109310081589,3.944433369705418e-18,0.017248657969160686,0.05183231921764451,0.3327780471626857,0.14376864434869074,,,,,,0.1731109310081589,3.944433369705418e-18,686.0
